c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
15,15,20,13,15,0,22,16,24,13,18,12,23,20,8,19,8,21,26,9,10,14,13,9,17,21,16,28,7,7,40,33,15,19,16,8,15,18,9,24,31,15,19,9,10,21,25,7,19,28,24,31,23,2,15,72,32,27,7,10,65,26,78,21,7,15,66,6,10,8,13,76,13,10,9,20,9,8,15,19,9
